

lambda(m), Y
1e-06, 0.611082
9.92519e-07, 0.613353
9.85149e-07, 0.614608
9.77887e-07, 0.615485
9.70732e-07, 0.617161
9.6368e-07, 0.618787
9.56731e-07, 0.619595
9.49881e-07, 0.617162
9.43128e-07, 0.610119
9.36471e-07, 0.59712
9.29907e-07, 0.579657
9.23434e-07, 0.561143
9.17051e-07, 0.548096
9.10755e-07, 0.54529
9.04545e-07, 0.553125
8.9842e-07, 0.566812
8.92377e-07, 0.581238
8.86414e-07, 0.592084
8.80531e-07, 0.59743
8.74725e-07, 0.59702
8.68996e-07, 0.592722
8.63341e-07, 0.587937
8.57759e-07, 0.587235
8.52248e-07, 0.592869
8.46809e-07, 0.603757
8.41438e-07, 0.616403
8.36134e-07, 0.627837
8.30898e-07, 0.636269
8.25726e-07, 0.641966
8.20619e-07, 0.646211
8.15574e-07, 0.650797
8.10591e-07, 0.656336
8.05668e-07, 0.662679
8.00805e-07, 0.668591
7.96e-07, 0.672728
7.91252e-07, 0.673366
7.86561e-07, 0.669506
7.81925e-07, 0.660683
7.77344e-07, 0.648148
7.72816e-07, 0.634677
7.6834e-07, 0.62492
7.63916e-07, 0.622247
7.59542e-07, 0.626822
7.55218e-07, 0.635235
7.50943e-07, 0.644035
7.46717e-07, 0.650874
7.42537e-07, 0.655024
7.38404e-07, 0.656306
7.34317e-07, 0.655345
7.30275e-07, 0.653255
7.26277e-07, 0.651941
7.22323e-07, 0.653295
7.18412e-07, 0.658299
7.14542e-07, 0.666398
7.10714e-07, 0.675954
7.06927e-07, 0.684711
7.0318e-07, 0.691795
6.99473e-07, 0.697117
6.95804e-07, 0.701508
6.92174e-07, 0.705805
6.88581e-07, 0.710733
6.85026e-07, 0.716309
6.81507e-07, 0.722122
6.78024e-07, 0.72736
6.74576e-07, 0.731449
6.71164e-07, 0.73434
6.67785e-07, 0.736431
6.64441e-07, 0.738205
6.6113e-07, 0.740361
6.57851e-07, 0.743268
6.54605e-07, 0.747172
6.51391e-07, 0.751875
6.48208e-07, 0.756908
6.45057e-07, 0.761541
6.41935e-07, 0.765157
6.38844e-07, 0.767399
6.35783e-07, 0.768407
6.3275e-07, 0.768687
6.29747e-07, 0.768973
6.26772e-07, 0.769918
6.23824e-07, 0.771929
6.20905e-07, 0.774984
6.18012e-07, 0.778644
6.15147e-07, 0.782185
6.12308e-07, 0.784885
6.09495e-07, 0.786296
6.06707e-07, 0.786433
6.03945e-07, 0.785772
6.01208e-07, 0.785055
5.98496e-07, 0.784981
5.95808e-07, 0.785978
5.93145e-07, 0.788026
5.90504e-07, 0.790675
5.87888e-07, 0.793242
5.85294e-07, 0.795062
5.82723e-07, 0.795748
5.80175e-07, 0.795311
5.77649e-07, 0.794165
5.75145e-07, 0.792919
5.72662e-07, 0.792183
5.70201e-07, 0.792329
5.6776e-07, 0.793412
5.65341e-07, 0.795147
5.62942e-07, 0.797028
5.60563e-07, 0.798463
5.58205e-07, 0.799014
5.55866e-07, 0.798509
5.53547e-07, 0.797153
5.51247e-07, 0.795409
5.48966e-07, 0.793874
5.46703e-07, 0.793046
5.4446e-07, 0.793181
5.42234e-07, 0.794154
5.40027e-07, 0.795532
5.37838e-07, 0.796686
5.35666e-07, 0.797067
5.33512e-07, 0.796371
5.31375e-07, 0.794687
5.29255e-07, 0.79241
5.27152e-07, 0.79015
5.25066e-07, 0.788421
5.22996e-07, 0.787521
5.20942e-07, 0.787376
5.18905e-07, 0.787649
5.16883e-07, 0.787811
5.14877e-07, 0.787397
5.12887e-07, 0.786065
5.10911e-07, 0.783791
5.08951e-07, 0.780767
5.07006e-07, 0.777407
5.05076e-07, 0.77409
5.03161e-07, 0.771148
5.01259e-07, 0.768661
4.99373e-07, 0.766566
4.975e-07, 0.764553
4.95641e-07, 0.762269
4.93797e-07, 0.759311
4.91965e-07, 0.755497
4.90148e-07, 0.75079
4.88344e-07, 0.745461
4.86553e-07, 0.739851
4.84775e-07, 0.734417
4.8301e-07, 0.729426
4.81258e-07, 0.725041
4.79518e-07, 0.721103
4.77791e-07, 0.717392
4.76077e-07, 0.71355
4.74374e-07, 0.709399
4.72684e-07, 0.704828
4.71006e-07, 0.700001
4.6934e-07, 0.695107
4.67685e-07, 0.690466
4.66042e-07, 0.686243
4.64411e-07, 0.682585
4.62791e-07, 0.67944
4.61182e-07, 0.676773
4.59584e-07, 0.674424
4.57998e-07, 0.672293
4.56422e-07, 0.670193
4.54857e-07, 0.668026
4.53303e-07, 0.665668
4.51759e-07, 0.663135
4.50226e-07, 0.660475
4.48703e-07, 0.657879
4.47191e-07, 0.655539
4.45689e-07, 0.653662
4.44196e-07, 0.652299
4.42714e-07, 0.651379
4.41242e-07, 0.650664
4.39779e-07, 0.649889
4.38326e-07, 0.648814
4.36883e-07, 0.647347
4.35449e-07, 0.645542
4.34024e-07, 0.643585
4.32609e-07, 0.641714
4.31203e-07, 0.640101
4.29806e-07, 0.638832
4.28418e-07, 0.637872
4.27039e-07, 0.637149
4.25668e-07, 0.636537
4.24307e-07, 0.635949
4.22954e-07, 0.635258
4.2161e-07, 0.634402
4.20275e-07, 0.633288
4.18947e-07, 0.631932
4.17629e-07, 0.630343
4.16318e-07, 0.628692
4.15016e-07, 0.62714
4.13721e-07, 0.625955
4.12435e-07, 0.625214
4.11157e-07, 0.624936
4.09887e-07, 0.624874
4.08624e-07, 0.62481
4.07369e-07, 0.624421
4.06122e-07, 0.623848
4.04883e-07, 0.622682
4.03651e-07, 0.621148
4.02427e-07, 0.619607
4.0121e-07, 0.618318
4e-07, 0.617398



