

lambda(m), Y
1e-06, 0.607913
9.92519e-07, 0.610815
9.85149e-07, 0.612108
9.77887e-07, 0.613592
9.70732e-07, 0.615511
9.6368e-07, 0.617906
9.56731e-07, 0.61939
9.49881e-07, 0.618123
9.43128e-07, 0.612349
9.36471e-07, 0.600814
9.29907e-07, 0.584419
9.23434e-07, 0.565781
9.17051e-07, 0.550989
9.10755e-07, 0.545322
9.04545e-07, 0.550917
8.9842e-07, 0.563548
8.92377e-07, 0.57824
8.86414e-07, 0.589846
8.80531e-07, 0.596406
8.74725e-07, 0.596961
8.68996e-07, 0.593445
8.63341e-07, 0.58838
8.57759e-07, 0.586819
8.52248e-07, 0.591164
8.46809e-07, 0.60147
8.41438e-07, 0.613894
8.36134e-07, 0.625686
8.30898e-07, 0.634344
8.25726e-07, 0.640362
8.20619e-07, 0.644538
8.15574e-07, 0.649185
8.10591e-07, 0.654706
8.05668e-07, 0.661355
8.00805e-07, 0.66755
7.96e-07, 0.67221
7.91252e-07, 0.673333
7.86561e-07, 0.670115
7.81925e-07, 0.66184
7.77344e-07, 0.649707
7.72816e-07, 0.636162
7.6834e-07, 0.625796
7.63916e-07, 0.622321
7.59542e-07, 0.626286
7.55218e-07, 0.634599
7.50943e-07, 0.643457
7.46717e-07, 0.650563
7.42537e-07, 0.654845
7.38404e-07, 0.656452
7.34317e-07, 0.655629
7.30275e-07, 0.653741
7.26277e-07, 0.652183
7.22323e-07, 0.65326
7.18412e-07, 0.657695
7.14542e-07, 0.665572
7.10714e-07, 0.674889
7.06927e-07, 0.683794
7.0318e-07, 0.69086
6.99473e-07, 0.696408
6.95804e-07, 0.700766
6.92174e-07, 0.705249
6.88581e-07, 0.710121
6.85026e-07, 0.715871
6.81507e-07, 0.721634
6.78024e-07, 0.727036
6.74576e-07, 0.73105
6.71164e-07, 0.734023
6.67785e-07, 0.735982
6.64441e-07, 0.737804
6.6113e-07, 0.739878
6.57851e-07, 0.742862
6.54605e-07, 0.746738
6.51391e-07, 0.751518
6.48208e-07, 0.756547
6.45057e-07, 0.761238
6.41935e-07, 0.764865
6.38844e-07, 0.76713
6.35783e-07, 0.768151
6.3275e-07, 0.768421
6.29747e-07, 0.768732
6.26772e-07, 0.769649
6.23824e-07, 0.771704
6.20905e-07, 0.77472
6.18012e-07, 0.778443
6.15147e-07, 0.781938
6.12308e-07, 0.784714
6.09495e-07, 0.786067
6.06707e-07, 0.786285
6.03945e-07, 0.785555
6.01208e-07, 0.78492
5.98496e-07, 0.78477
5.95808e-07, 0.785847
5.93145e-07, 0.787822
5.90504e-07, 0.790552
5.87888e-07, 0.793052
5.85294e-07, 0.79495
5.82723e-07, 0.795574
5.80175e-07, 0.795206
5.77649e-07, 0.794005
5.75145e-07, 0.792812
5.72662e-07, 0.792031
5.70201e-07, 0.792216
5.6776e-07, 0.793268
5.65341e-07, 0.79503
5.62942e-07, 0.796897
5.60563e-07, 0.798347
5.58205e-07, 0.798901
5.55866e-07, 0.798394
5.53547e-07, 0.797054
5.51247e-07, 0.795291
5.48966e-07, 0.793782
5.46703e-07, 0.79292
5.4446e-07, 0.793095
5.42234e-07, 0.794023
5.40027e-07, 0.795453
5.37838e-07, 0.796555
5.35666e-07, 0.796998
5.33512e-07, 0.796245
5.31375e-07, 0.794626
5.29255e-07, 0.792287
5.27152e-07, 0.790091
5.25066e-07, 0.788297
5.22996e-07, 0.787457
5.20942e-07, 0.787253
5.18905e-07, 0.787583
5.16883e-07, 0.787695
5.14877e-07, 0.787331
5.12887e-07, 0.785961
5.10911e-07, 0.783725
5.08951e-07, 0.780673
5.07006e-07, 0.777335
5.05076e-07, 0.774003
5.03161e-07, 0.771067
5.01259e-07, 0.768578
4.99373e-07, 0.766475
4.975e-07, 0.76448
4.95641e-07, 0.762174
4.93797e-07, 0.75925
4.91965e-07, 0.755399
4.90148e-07, 0.750741
4.88344e-07, 0.745359
4.86553e-07, 0.739809
4.84775e-07, 0.734308
4.8301e-07, 0.729386
4.81258e-07, 0.724926
4.79518e-07, 0.721065
4.77791e-07, 0.717275
4.76077e-07, 0.713514
4.74374e-07, 0.709284
4.72684e-07, 0.704794
4.71006e-07, 0.69989
4.6934e-07, 0.695071
4.67685e-07, 0.690358
4.66042e-07, 0.6862
4.64411e-07, 0.682481
4.62791e-07, 0.679388
4.61182e-07, 0.676673
4.59584e-07, 0.674362
4.57998e-07, 0.672201
4.56422e-07, 0.670123
4.54857e-07, 0.667945
4.53303e-07, 0.66559
4.51759e-07, 0.663064
4.50226e-07, 0.660387
4.48703e-07, 0.657816
4.47191e-07, 0.65544
4.45689e-07, 0.653604
4.44196e-07, 0.652189
4.42714e-07, 0.651325
4.41242e-07, 0.650547
4.39779e-07, 0.649842
4.38326e-07, 0.648694
4.36883e-07, 0.647304
4.35449e-07, 0.645419
4.34024e-07, 0.643543
4.32609e-07, 0.641591
4.31203e-07, 0.640055
4.29806e-07, 0.638709
4.28418e-07, 0.637818
4.27039e-07, 0.637028
4.25668e-07, 0.636477
4.24307e-07, 0.635836
4.22954e-07, 0.63519
4.2161e-07, 0.6343
4.20275e-07, 0.633212
4.18947e-07, 0.63184
4.17629e-07, 0.630255
4.16318e-07, 0.628608
4.15016e-07, 0.627038
4.13721e-07, 0.625878
4.12435e-07, 0.6251
4.11157e-07, 0.624868
4.09887e-07, 0.624751
4.08624e-07, 0.62475
4.07369e-07, 0.624292
4.06122e-07, 0.623794
4.04883e-07, 0.622549
4.03651e-07, 0.621097
4.02427e-07, 0.619472
4.0121e-07, 0.618265
4e-07, 0.617262



