

lambda(m), Y
1e-06, 0.614883
9.85075e-07, 0.623106
9.70588e-07, 0.632725
9.56522e-07, 0.647405
9.42857e-07, 0.657972
9.29577e-07, 0.652768
9.16667e-07, 0.620581
9.0411e-07, 0.556151
8.91892e-07, 0.514888
8.8e-07, 0.585034
8.68421e-07, 0.624773
8.57143e-07, 0.614351
8.46154e-07, 0.573137
8.35443e-07, 0.609037
8.25e-07, 0.635933
8.14815e-07, 0.620947
8.04878e-07, 0.655526
7.95181e-07, 0.694375
7.85714e-07, 0.711335
7.76471e-07, 0.70106
7.67442e-07, 0.640572
7.58621e-07, 0.601505
7.5e-07, 0.652952
7.41573e-07, 0.680261
7.33333e-07, 0.674898
7.25275e-07, 0.680374
7.17391e-07, 0.649673
7.09677e-07, 0.642677
7.02128e-07, 0.686269
6.94737e-07, 0.711353
6.875e-07, 0.724311
6.80412e-07, 0.737614
6.73469e-07, 0.745264
6.66667e-07, 0.744614
6.6e-07, 0.750434
6.53465e-07, 0.762182
6.47059e-07, 0.774524
6.40777e-07, 0.782483
6.34615e-07, 0.78383
6.28571e-07, 0.783724
6.22642e-07, 0.78744
6.16822e-07, 0.794445
6.11111e-07, 0.799472
6.05505e-07, 0.79923
6e-07, 0.797119
5.94595e-07, 0.798463
5.89286e-07, 0.803282
5.84071e-07, 0.806564
5.78947e-07, 0.805376
5.73913e-07, 0.80262
5.68966e-07, 0.802738
5.64103e-07, 0.806079
5.59322e-07, 0.808793
5.54622e-07, 0.807611
5.5e-07, 0.804022
5.45455e-07, 0.802397
5.40984e-07, 0.804382
5.36585e-07, 0.806546
5.32258e-07, 0.804878
5.28e-07, 0.800188
5.2381e-07, 0.796805
5.19685e-07, 0.796553
5.15625e-07, 0.79665
5.11628e-07, 0.793565
5.07692e-07, 0.787166
5.03817e-07, 0.780362
5e-07, 0.775273
4.96241e-07, 0.770915
4.92537e-07, 0.764329
4.88889e-07, 0.75418
4.85294e-07, 0.742531
4.81752e-07, 0.732386
4.78261e-07, 0.724212
4.7482e-07, 0.71595
4.71429e-07, 0.70624
4.68085e-07, 0.696163
4.64789e-07, 0.687647
4.61538e-07, 0.681337
4.58333e-07, 0.676554
4.55172e-07, 0.672096
4.52055e-07, 0.667015
4.4898e-07, 0.661511
4.45946e-07, 0.656985
4.42953e-07, 0.654441
4.4e-07, 0.652849
4.37086e-07, 0.65029
4.34211e-07, 0.646425
4.31373e-07, 0.642724
4.28571e-07, 0.640312
4.25806e-07, 0.638899
4.23077e-07, 0.637568
4.20382e-07, 0.635515
4.17722e-07, 0.632471
4.15094e-07, 0.62916
4.125e-07, 0.627115
4.09938e-07, 0.626695
4.07407e-07, 0.62621
4.04908e-07, 0.624481
4.02439e-07, 0.621308
4e-07, 0.619025



