

lambda(m), Y
1e-06, 0.624041
9.92519e-07, 0.628417
9.85149e-07, 0.631467
9.77887e-07, 0.635244
9.70732e-07, 0.640383
9.6368e-07, 0.646805
9.56731e-07, 0.653871
9.49881e-07, 0.659213
9.43128e-07, 0.661506
9.36471e-07, 0.6584
9.29907e-07, 0.647987
9.23434e-07, 0.626833
9.17051e-07, 0.589843
9.10755e-07, 0.540654
9.04545e-07, 0.503957
8.9842e-07, 0.51239
8.92377e-07, 0.553414
8.86414e-07, 0.591858
8.80531e-07, 0.617686
8.74725e-07, 0.631757
8.68996e-07, 0.634562
8.63341e-07, 0.623624
8.57759e-07, 0.596498
8.52248e-07, 0.569974
8.46809e-07, 0.573692
8.41438e-07, 0.600039
8.36134e-07, 0.626963
8.30898e-07, 0.645964
8.25726e-07, 0.655913
8.20619e-07, 0.656713
8.15574e-07, 0.654219
8.10591e-07, 0.663043
8.05668e-07, 0.680228
8.00805e-07, 0.696463
7.96e-07, 0.709079
7.91252e-07, 0.717511
7.86561e-07, 0.720738
7.81925e-07, 0.717211
7.77344e-07, 0.704403
7.72816e-07, 0.677915
7.6834e-07, 0.639476
7.63916e-07, 0.611075
7.59542e-07, 0.6141
7.55218e-07, 0.637483
7.50943e-07, 0.660278
7.46717e-07, 0.672443
7.42537e-07, 0.674174
7.38404e-07, 0.677306
7.34317e-07, 0.684883
7.30275e-07, 0.685634
7.26277e-07, 0.673477
7.22323e-07, 0.649396
7.18412e-07, 0.632133
7.14542e-07, 0.641683
7.10714e-07, 0.66645
7.06927e-07, 0.689501
7.0318e-07, 0.705327
6.99473e-07, 0.714147
6.95804e-07, 0.718804
6.92174e-07, 0.723062
6.88581e-07, 0.728613
6.85026e-07, 0.735019
6.81507e-07, 0.741374
6.78024e-07, 0.746987
6.74576e-07, 0.750315
6.71164e-07, 0.750731
6.67785e-07, 0.750879
6.64441e-07, 0.753538
6.6113e-07, 0.757962
6.57851e-07, 0.762995
6.54605e-07, 0.76853
6.51391e-07, 0.774346
6.48208e-07, 0.780145
6.45057e-07, 0.785127
6.41935e-07, 0.78864
6.38844e-07, 0.790512
6.35783e-07, 0.791044
6.3275e-07, 0.791212
6.29747e-07, 0.791685
6.26772e-07, 0.793028
6.23824e-07, 0.795536
6.20905e-07, 0.799031
6.18012e-07, 0.803143
6.15147e-07, 0.806989
6.12308e-07, 0.809876
6.09495e-07, 0.811355
6.06707e-07, 0.811414
6.03945e-07, 0.810702
6.01208e-07, 0.809919
5.98496e-07, 0.809892
5.95808e-07, 0.811037
5.93145e-07, 0.813269
5.90504e-07, 0.816173
5.87888e-07, 0.818887
5.85294e-07, 0.820799
5.82723e-07, 0.821451
5.80175e-07, 0.820881
5.77649e-07, 0.819615
5.75145e-07, 0.818231
5.72662e-07, 0.817479
5.70201e-07, 0.817676
5.6776e-07, 0.818863
5.65341e-07, 0.820747
5.62942e-07, 0.822668
5.60563e-07, 0.824091
5.58205e-07, 0.824464
5.55866e-07, 0.823688
5.53547e-07, 0.822022
5.51247e-07, 0.819936
5.48966e-07, 0.81815
5.46703e-07, 0.817093
5.4446e-07, 0.817043
5.42234e-07, 0.817818
5.40027e-07, 0.818868
5.37838e-07, 0.819602
5.35666e-07, 0.819355
5.33512e-07, 0.817928
5.31375e-07, 0.815419
5.29255e-07, 0.812278
5.27152e-07, 0.809202
5.25066e-07, 0.806652
5.22996e-07, 0.804967
5.20942e-07, 0.804007
5.18905e-07, 0.803373
5.16883e-07, 0.80258
5.14877e-07, 0.801071
5.12887e-07, 0.79865
5.10911e-07, 0.795257
5.08951e-07, 0.791194
5.07006e-07, 0.786905
5.05076e-07, 0.782743
5.03161e-07, 0.779075
5.01259e-07, 0.775903
4.99373e-07, 0.773148
4.975e-07, 0.770513
4.95641e-07, 0.767565
4.93797e-07, 0.764031
4.91965e-07, 0.759635
4.90148e-07, 0.754461
4.88344e-07, 0.748734
4.86553e-07, 0.742803
4.84775e-07, 0.737132
4.8301e-07, 0.731926
4.81258e-07, 0.727355
4.79518e-07, 0.723249
4.77791e-07, 0.719327
4.76077e-07, 0.715334
4.74374e-07, 0.71097
4.72684e-07, 0.706273
4.71006e-07, 0.7013
4.6934e-07, 0.69632
4.67685e-07, 0.691628
4.66042e-07, 0.687357
4.64411e-07, 0.683688
